,Actor_id,movie_id
928,87,1216475
929,87,985699
930,87,141926
931,87,187738
932,87,1489889
933,87,318627
934,87,962736
935,87,2814362
936,87,800241
937,87,363163
938,87,360717
939,88,1216475
940,88,118055
941,88,99674
942,88,109190
943,88,116260
944,88,117894
945,88,443496
946,88,115495
947,88,867270
948,89,1216475
949,89,132347
950,89,465624
951,89,252223
952,89,368222
953,89,120879
954,89,189998
955,90,1133985
956,90,120179
957,90,116654
958,90,1414378
959,91,1133985
960,91,458525
961,91,1860353
962,91,790736
963,91,481499
964,91,1599348
965,91,359013
966,91,1431045
967,91,1488555
968,91,1041829
969,91,2140379
970,91,384806
971,91,475394
972,91,144168
973,91,2404425
974,91,832266
975,91,283111
976,91,1462758
977,91,348333
978,92,1133985
979,93,435761
980,93,1217209
981,93,910970
982,93,1049413
983,93,382932
984,93,198781
985,93,120363
986,93,317219
987,93,120623
988,93,114709
989,94,435761
990,94,338348
991,94,808151
992,94,382625
993,94,1371111
994,94,120363
995,94,162222
996,94,257044
997,94,362227
998,94,472062
999,94,120815
1000,94,112384
1001,94,128853
1002,94,120689
1003,94,109830
1004,94,1535109
1005,94,264464
1006,94,104694
1007,94,3682448
1008,94,477302
1009,94,2140373
1010,94,335245
1011,94,114709
1012,94,1583420
1013,94,94737
1014,94,107818
1015,94,88161
1016,94,117887
1017,95,435761
1018,95,112641
1019,95,120654
1020,96,438488
1021,96,1402488
1022,96,493464
1023,96,1670345
1024,96,2199571
1025,96,1462769
1026,96,1598822
1027,96,475394
1028,96,1407061
1029,96,425598
1030,97,2820852
1031,97,1596343
1032,97,300556
1033,97,322259
1034,97,418689
1035,97,378109
1036,97,397313
1037,97,232500
1038,97,1135084
1039,97,1430612
1040,97,120645
1041,97,206314
1042,97,404390
1043,97,139699
1044,97,192614
1045,97,160862
1046,97,473188
1047,98,2820852
1048,98,1764651
1049,98,2333784
1050,98,1320253
1051,98,1448755
1052,98,452608
1053,98,317740
1054,98,460780
1055,98,267804
1056,98,472399
1057,98,1904996
1058,98,1656190
1059,98,388482
1060,98,2231253
1061,98,228333
1062,98,499556
1063,98,2312718
1064,98,293662
1065,98,200465
1066,98,1121931
1067,98,479884
1068,98,208092
1069,98,291341
1070,98,449061
1071,98,120735
1072,99,2820852
1073,99,2015381
1074,99,1596343
1075,99,296572
1076,99,1618442
1077,99,295701
1078,99,120815
1079,99,395699
1080,99,129167
1081,99,364970
1082,99,232500
1083,99,1411250
1084,99,266465
1085,99,134847
1086,99,211465
1087,99,419749
1088,99,181984
1089,100,816711
1090,100,421715
1091,100,332452
1092,100,1402488
1093,100,1001526
1094,100,349903
1095,100,356910
1096,100,266987
1097,100,118972
1098,100,240772
1099,100,496806
1100,100,119643
1101,100,2713180
1102,100,361748
1103,100,120102
1104,100,137523
1105,100,165982
1106,100,110148
1107,100,1210166
1108,100,117665
1109,100,236493
1110,100,887883
1111,100,478304
1112,100,114369
1113,100,110322
1114,100,443680
1115,100,2193215
1116,100,449467
1117,100,3707106
1118,100,1764234
1119,100,108399
1120,100,208092
1121,100,104567
1122,101,816711
1123,101,1837703
1124,101,94947
1125,102,816711
1126,102,1355630
1127,102,1742334
1128,103,1877832
1129,103,3385516
1130,103,1270798
1131,103,1951266
1132,103,1951264
1133,103,1951265
1134,103,1392170
1135,103,2446980
1136,103,1800241
1137,103,1045658
1138,103,1321860
1139,103,1582507
1140,103,1399683
1141,103,1014806
1142,103,1758692
1143,104,1408101
1144,104,796366
1145,104,343818
1146,104,146309
1147,104,329717
1148,104,427152
1149,104,150377
1150,104,397313
1151,104,1907668
1152,104,376105
1153,104,2318092
1154,104,1071812
1155,104,134619
1156,104,195778
1157,104,291502
1158,104,120255
1159,104,1518812
1160,104,109759
1161,104,3297330
1162,105,1408101
1163,105,1911658
1164,105,1568911
1165,105,1355683
1166,105,467200
1167,105,783233
1168,105,1837703
1169,105,1322269
1170,105,1340800
1171,105,2084970
1172,106,1408101
1173,107,1351685
1174,107,265086
1175,107,327850
1176,107,1706620
1177,107,795368
1178,107,1182350
1179,107,117951
1180,108,1351685
1181,108,448157
1182,108,317919
1183,108,1515091
1184,108,988045
1185,108,1568911
1186,108,434409
1187,108,3322364
1188,108,315733
1189,108,443543
1190,108,383694
1191,109,1351685
1192,109,480011
1193,110,473075
1194,110,401445
1195,110,375920
1196,110,1486193
1197,110,1525366
1198,111,473075
1199,111,319262
1200,111,443706
1201,111,418763
1202,111,1392214
1203,111,945513
1204,111,1798684
1205,111,758752
1206,111,804522
1207,111,1137470
1208,111,179098
1209,111,1855199
1210,111,388795
1211,111,258470
1212,111,765010
1213,111,2872718
1214,111,279113
1215,111,246578
1216,111,165361
1217,112,473075
1218,112,2403393
1219,113,1663662
1220,113,2209764
1221,113,272020
1222,113,1904996
1223,113,120008
1224,113,297284
1225,113,1121931
1226,113,1712261
1227,113,473102
1228,113,106950
1229,113,1300851
1230,113,1225822
1231,113,862846
1232,113,292644
1233,113,3300572
1234,113,1296373
1235,114,1663662
1236,114,159365
1237,114,206634
1238,114,267248
1239,114,309912
1240,114,1667310
1241,115,1663662
1242,115,480687
1243,116,1399103
1244,117,367882
1245,117,970179
1246,117,1192628
1247,117,407887
1248,117,770752
1249,117,1226273
1250,117,2515034
1251,117,265651
1252,117,2058673
1253,117,421238
1254,117,253200
1255,117,1147687
1256,117,1414378
1257,117,857190
1258,117,203119
1259,117,3346224
1260,117,1800337
1261,118,367882
1262,118,1731141
1263,118,2333784
1264,118,161081
1265,118,118972
1266,118,118571
1267,118,120828
1268,118,329717
1269,118,156934
1270,118,109444
1271,118,1229340
1272,118,408345
1273,118,97576
1274,118,105112
1275,118,106977
1276,118,453562
1277,118,86190
1278,118,78788
1279,118,1244659
1280,118,1655441
1281,118,87469
1282,118,83658
1283,118,80684
1284,118,82971
1285,118,90329
1286,118,76759
1287,118,77572
1288,118,71360
1289,118,69704
1290,119,367882
1291,119,363771
1292,119,1371111
1293,119,217505
1294,119,1430607
1295,119,358082
1296,119,203009
1297,119,317198
1298,119,361089
1299,119,962736
1300,119,120152
1301,119,1620449
1302,119,118755
1303,119,243155
1304,119,109348
1305,119,151568
1306,119,94074
1307,119,88846
1308,119,1007029
1309,119,309912
1310,119,114279
1311,119,1431181
1312,119,829098
1313,119,1003034
1314,119,327437
1315,119,3910804
1316,119,147004
1317,119,280778
1318,119,104036
1319,120,1979388
1320,121,1979388
1321,121,163676
1322,121,810928
1323,121,290145
1324,121,425151
1325,122,1979388
1326,123,1217209
1327,123,1781769
1328,123,371724
1329,123,477348
1330,123,308644
1331,123,396752
1332,123,126859
1333,123,117951
1334,124,1217209
1335,124,1109624
1336,124,795421
1337,124,416508
1338,124,2381111
1339,124,419256
1340,124,249462
1341,124,446687
1342,125,2660888
1343,126,2660888
1344,127,2660888
1345,128,910970
1346,128,371606
1347,128,328828
1348,128,466342
1349,128,799949
1350,128,403702
1351,128,138510
1352,128,278488
1353,128,366551
